# rio-bench v0
# wpilib_version=2026.2.1
# rio_firmware=unknown
# rio_image=unknown
# git_sha=unknown
# run_timestamp_iso8601=2026-04-30T21:23:14.862241455Z
# warmup_samples=1000
# samples_per_block=10000
# block_size=100
# validated=false
call_class,operating_point,sample_count,mean_us,stddev_us,p50_us,p99_us,p999_us,outlier_rate
can_frame_read,idle_bus,10000,31.719,23.527,23.910,130.366,172.543,0.003200
can_frame_read,multi_thread,10000,6.997,4.217,5.216,23.325,32.032,0.002500
can_frame_read,saturated_bus,10000,7.690,4.669,5.655,25.675,33.621,0.002700
can_frame_read,saturated_bus_4,10000,7.338,4.631,5.175,24.023,43.478,0.002600
can_frame_read,saturated_bus_4_multi_thread,10000,12.469,7.959,11.354,25.090,33.293,0.000400
can_frame_read,saturated_bus_8,10000,12.817,3.334,11.434,24.883,31.243,0.001600
can_frame_read,saturated_bus_8_multi_thread,10000,13.229,3.838,11.688,25.498,32.522,0.001100
can_frame_read,saturated_multi_thread,10000,7.620,17.265,5.228,24.060,34.330,0.000100
can_frame_write,idle_bus,10000,0.567,0.786,0.294,3.061,4.748,0.001200
can_frame_write,multi_thread,10000,0.131,0.148,0.059,0.634,0.849,0.000800
can_frame_write,saturated_bus,10000,0.169,0.151,0.104,0.601,0.801,0.000900
can_frame_write,saturated_bus_4,10000,0.420,0.702,0.348,1.308,2.035,0.000300
can_frame_write,saturated_bus_4_multi_thread,10000,0.567,0.449,0.551,0.980,2.312,0.000900
can_frame_write,saturated_bus_8,10000,1.307,3.319,1.007,4.089,47.706,0.003100
can_frame_write,saturated_bus_8_multi_thread,10000,1.600,1.830,1.265,5.998,34.525,0.002300
can_frame_write,saturated_multi_thread,10000,0.271,0.143,0.237,0.675,0.824,0.000300
ds_state_read,idle_bus,10000,0.158,0.129,0.147,0.439,1.266,0.003300
ds_state_read,multi_thread,10000,0.143,0.088,0.137,0.243,0.355,0.000400
ds_state_read,saturated_bus,10000,0.042,0.096,0.032,0.102,1.233,0.001800
ds_state_read,saturated_bus_4,10000,0.095,0.054,0.094,0.149,0.192,0.000200
ds_state_read,saturated_bus_4_multi_thread,10000,0.295,0.106,0.287,0.456,0.659,0.000600
ds_state_read,saturated_bus_8,10000,0.095,0.024,0.094,0.156,0.303,0.002000
ds_state_read,saturated_bus_8_multi_thread,10000,0.330,0.086,0.316,0.575,0.660,0.000000
ds_state_read,saturated_multi_thread,10000,0.222,0.044,0.220,0.315,0.517,0.001700
hal_get_fpga_time,idle_bus,10000,0.088,0.035,0.089,0.165,0.338,0.002200
hal_get_fpga_time,multi_thread,10000,0.065,0.008,0.065,0.078,0.105,0.000900
hal_get_fpga_time,saturated_bus,10000,0.021,0.006,0.019,0.037,0.078,0.003300
hal_get_fpga_time,saturated_bus_4,10000,0.054,0.019,0.052,0.070,0.172,0.001100
hal_get_fpga_time,saturated_bus_4_multi_thread,10000,0.174,0.029,0.172,0.263,0.645,0.001600
hal_get_fpga_time,saturated_bus_8,10000,0.059,0.007,0.059,0.079,0.098,0.001600
hal_get_fpga_time,saturated_bus_8_multi_thread,10000,0.217,0.074,0.181,0.363,0.389,0.000000
hal_get_fpga_time,saturated_multi_thread,10000,0.112,0.016,0.113,0.139,0.154,0.000400
hal_notifier_wait,idle_bus,10000,61.528,14.600,60.190,138.612,192.175,0.013100
hal_notifier_wait,multi_thread,10000,51.605,6.612,51.927,57.903,105.053,0.005700
hal_notifier_wait,saturated_bus,10000,51.521,7.523,52.046,58.225,109.446,0.004400
hal_notifier_wait,saturated_bus_4,10000,51.524,7.549,52.062,59.026,104.028,0.004300
hal_notifier_wait,saturated_bus_4_multi_thread,10000,53.620,7.076,54.138,60.107,101.065,0.006000
hal_notifier_wait,saturated_bus_8,10000,53.643,7.467,54.153,60.287,103.274,0.004800
hal_notifier_wait,saturated_bus_8_multi_thread,10000,53.192,7.436,54.099,58.488,95.287,0.001600
hal_notifier_wait,saturated_multi_thread,10000,51.592,7.560,52.029,58.415,107.128,0.006100
power_state_read,idle_bus,10000,0.080,0.072,0.070,0.243,0.740,0.001600
power_state_read,multi_thread,10000,0.081,0.076,0.074,0.158,0.275,0.000700
power_state_read,saturated_bus,10000,0.019,0.010,0.015,0.047,0.137,0.001800
power_state_read,saturated_bus_4,10000,0.055,0.060,0.051,0.118,0.137,0.000600
power_state_read,saturated_bus_4_multi_thread,10000,0.285,0.059,0.288,0.409,0.567,0.000800
power_state_read,saturated_bus_8,10000,0.075,0.035,0.074,0.124,0.287,0.001500
power_state_read,saturated_bus_8_multi_thread,10000,0.310,0.097,0.287,0.545,0.612,0.000100
power_state_read,saturated_multi_thread,10000,0.132,0.083,0.125,0.253,0.342,0.000300
